//* Řádky dialogů začínají kódem ve stylu "v2;30;", který určuje, kdo mluví a kdy se replika objeví. Tento kód prosím přesně okopírujte do překladů.
//* První polovina řádku (až po /) je v jazyce vesničanů a musí zůstat beze změny, druhou polovinu je třeba přeložit.



newchat;key:sun,tag:notraining,weigth:18
v1;0;Mám rád slunečné dny!
v2;30;Kdo by neměl?

newchat;key:nicevillage,weigth:10
v1;0;Pohled na naši okouzlující vesničku je vždycky potěšení, viď?
v2;30;Samozřejmě, je to ovoce našeho úsilí!

newchat;key:sunzombie,tag:notraining,weigth:2
v1;0;Mám rád slunečné dny!
v2;30;Kdo by neměl?
v1;60;Já ne.
v2;120;Proč?
v1;150;Slunce mě pálí na kůži, nesnáším být venku!
v2;180;Chováš se jako zombie!
v1;210;Možná jím i jsem…

newchat;key:nothomeyet,weigth:6
v1;0;Pohled na naši hezkou malou vesnici je vždycky potěšení, viď?
v2;30;Samozřejmě! Strávili jsme tolik času jejím budováním.
v1;60;Je to skoro jako doma, jako než jsme sem přišli.
v2;90;Tohle je teď náš domov, musíme to přijmout.
v1;120;Já vím, časem se s tím smířím…

newchat;key:ishome,weigth:6
v1;0;Pohled na naši hezkou malou vesnici je vždycky potěšení, viď?
v2;30;Samozřejmě! Strávili jsme tolik času jejím budováním.
v1;60;Je to skoro jako doma, jako než jsme sem přišli.
v2;90;Tohle je teď náš domov, musíme to přijmout.
v1;120;Je to náš domov, tenhle rozhovor mě o tom přesvědčil.

newchat;key:harvest,weigth:10
v1;0;Pšenice letos roste opravdu dobře, stejně jako hrozny. Nádhera, ne?
v2;30;Ano, vypadá to tak. Máme tu zvláštně příznivé počasí, za které musíme děkovat.
v1;60;I když mi to počasí nedává smysl!

newchat;key:lightning,weigth:7
v1;0;Pamatuješ si na tu poslední bouři, co jsme zažili?
v2;30;Samozřejmě! Skoro nám zničila úrodu. Příroda umí být drsná, viď?
v1;60;Drsná, to ano. Skoro mě udeřil blesk!
v2;100;Tys nebyl doma? Víš přece, jak nebezpečné je být za bouře venku!
v1;120;Člověk se učí z chyb.

newchat;key:lightningpig,weigth:1,v1:adult,v2:adult
v1;0;Necítím se dobře…
v2;30;Co je s tebou? Jsi nemocný?
v1;60;Ne, j-j-jen jsem si vzpomněl na něco ošklivého.
v2;100;Vypadáš opravdu špatně. Určitě nejsi nemocný?
v1;120;N-ne, jen se b-bojím.
v2;150;Tak co se stalo?
v1;180;Při p-poslední bouřce jsem se procházel mimo v-v-vesnici a věděl jsem, že se nestihnu vrátit, než přijde. Tak jsem se schoval pod strom.
v2;210;Ty jsi riskoval život mimo vesnici! Mohls umřít!
v1;240;No, byl jsem v bezpečí. Ale pak jsem viděl prase. Uhodil do něj blesk. A to p-prase… postavilo se na zadní a šlo jako my, hnalo se za mnou s lesklým mečem!
v2;290;To, co povídáš, nedává smysl. To musela být noční můra.
v1;320;Byla to pravda! Pravda! Pravda! Pravda!
v2;350;Jsi blázen. Jdi se napít trochu vína a uklidni se.
v1;380;T-tak jo. M-možná m-mi to pomůže.

newchat;key:souvlaki,v1:adult,v2:adult,v1:male,v2:female,weigth:10
v1;0;Ach… Souvláki, jediné a pravé jídlo!
